time,x,y,z,H,W
78.5,-0.23954349820785656,0.017715531975715598,0.9707239939309007,4,11
78.75,-0.3439897953879312,0.005670117520983037,0.9389562665195155,4,11
79.0,-0.40848739546200646,0.03053519054254794,0.9122530624159048,4,10
79.25,-0.5072488412056662,0.01250717682291302,0.8617088740540098,4,10
79.5,-0.6165211739413031,-0.018513074346282698,0.7871206439678018,4,10
79.75,-0.7552190511616002,-0.04583805792701828,0.6538677673720061,4,9
80.0,-0.9028964563332873,-0.013711745529191431,0.42963935710702156,4,9
80.25,-0.9308148926062061,0.0061650788888055405,0.365438951816568,4,8
80.5,-0.9373585419396558,0.038902030189064546,0.34618722665622936,4,8
80.75,-0.9348912688088613,0.067993364842665,0.3483607581837107,4,8
81.0,-0.9223087737203637,0.11856654709552186,0.3678158504310064,5,8
81.25,-0.907733072993511,0.1674410509353128,0.38468709707427773,5,9
81.5,-0.9028692697285398,0.1859205253150581,0.38763467343160324,5,9
81.75,-0.8939381209014998,0.1956277331668927,0.4032423911434389,5,9
82.0,-0.891771340066316,0.1917679382225166,0.40984013335227687,5,9
82.25,-0.891409228269992,0.18852263053809734,0.4121271715503521,5,9
82.5,-0.8884006344418731,0.1902485564047227,0.4177915742438999,5,9
82.75,-0.8882382352352954,0.18477630447391052,0.4205835883282334,5,9
83.0,-0.8813223907804023,0.16547293058789042,0.4425941173939969,5,9
83.25,-0.8743280598600742,0.14268091735023725,0.46388856373639226,5,9
83.5,-0.8727215241800088,0.0891799788286098,0.48000424228234795,4,9
83.75,-0.8483876358229326,0.010572650196973898,0.5292699107738768,4,9
84.0,-0.7959906722579742,-0.030937678272966562,0.6045177497322779,4,9
84.25,-0.7112482132872413,-0.062192107755908756,0.7001843477460662,4,9
84.5,-0.6237430376901365,-0.07103429327871716,0.7783949846392088,4,10
84.75,-0.5230519983798948,-0.06497822358453301,0.8498202383154905,4,10
85.0,-0.36372003405385994,-0.03923196741073617,0.9306817874875076,4,11
85.25,-0.20428597154691155,-0.005762650819376908,0.978894291374032,4,11
85.5,-0.04578038009407914,0.023762625581248933,0.9986688612467736,4,11
85.75,0.15243837247991882,0.06001732594865565,0.9864889574555038,4,12
86.0,0.3324122005734902,0.10414669822930403,0.9373663073515199,4,12
86.25,0.4637825976605826,0.1455211129119611,0.873916075950126,5,13
86.5,0.4815369196527353,0.12465244994628433,0.8675159720337974,5,13
86.75,0.5248374252155992,0.06571022670428397,0.8486623846969606,4,13
87.0,0.6585771286576804,0.03468260155539299,0.7517135643038211,4,13
87.25,0.7886814401442303,0.028308392180064007,0.6141499987008081,4,14
87.5,0.7146521179819902,0.03744805827476448,0.6984769095648798,4,14
87.75,0.5415198147514376,0.06133056341100725,0.8384478828306846,4,13
88.0,0.4772239962361985,0.06802470495200152,0.8761449063554186,4,13
88.25,0.46340304325163106,0.06133125500863912,0.8840226788177961,4,13
88.5,0.4499870096128865,0.06341307432499951,0.8907808221915783,4,13
88.75,0.43351473990894684,0.06247782392068085,0.898978026316447,4,13
89.0,0.3942775931406328,0.06385500355550132,0.9167702646073094,4,13
89.25,0.2603857054676457,0.06437361628138473,0.9633562798440531,4,12
89.5,0.14779982062206348,0.0666697996146474,0.9867676275818075,4,12
89.75,0.043731527561828264,0.0707620699936566,0.9965341353648262,4,12
90.0,-0.062226276094720596,0.06825507792536407,0.9957254314823872,4,11
90.25,-0.0939663551103133,0.06413925440239415,0.9935071616007541,4,11
90.5,-0.12569539256821996,0.06448085683958446,0.9899711548264194,4,11
90.75,-0.17539044618709038,0.06303109776696565,0.9824791458858478,4,11
91.0,-0.21095201246128337,0.060290856593262665,0.9756353115020924,4,11
91.25,-0.16566647772542736,0.0587077418922715,0.9844328413863287,4,11
91.5,0.08357594588924079,0.08126604789641426,0.9931822041941831,4,12
91.75,0.29594218655069876,0.11575480446391459,0.9481661497138109,5,12
92.0,0.34822020981799295,0.1170101086117847,0.9300813512574969,5,12
92.25,0.3699827885711317,0.11354348657798233,0.922074082065451,5,12
92.5,0.3891568927197052,0.11554170045181283,0.9138966179527354,5,13
92.75,0.3921741305979484,0.05286364773580184,0.9183707780835624,4,13
93.0,0.18921866214726346,0.04521871016925751,0.9808932491080914,4,12
93.25,-0.1801420538029279,0.11104425337792592,0.9773525537099713,4,11
93.5,-0.7197878833358348,0.15391465305918253,0.6769163039671819,5,9
93.75,-0.9383121622135001,0.21547554540710337,0.27044514337243647,5,8
94.0,-0.9677046181435357,0.2478674560381716,0.04592925277901188,5,8
94.25,-0.9405709846572151,0.2633521072052826,-0.2144105651582832,5,7
94.5,-0.9346435616934181,0.0796715630252437,-0.3465456025260691,4,7
94.75,-0.9238362947829888,-0.1890127867826247,-0.3328673412551986,3,7
95.0,-0.8650079100245947,-0.25603495401392523,-0.43151757544504515,3,6
95.25,-0.8153183371941778,-0.10148638340033575,-0.5700495794395795,4,6
95.5,-0.7179132160714538,-0.03633304187933805,-0.6951838060957237,4,6
95.75,-0.671403776416156,-0.05218356883831437,-0.7392522195823433,4,5
96.0,-0.6450040974595751,-0.029781535448022225,-0.7635985688872898,4,5
96.25,-0.6461123379932652,-0.0067071038142156245,-0.7632128546161304,4,5
